_id,count,dayWeek,days,hours
"{'day': 12, 'hour': 19}",140.0,5.0,12,19
"{'day': 12, 'hour': 20}",100.0,5.0,12,20
"{'day': 12, 'hour': 21}",111.0,5.0,12,21
"{'day': 12, 'hour': 22}",88.0,5.0,12,22
"{'day': 12, 'hour': 23}",90.0,5.0,12,23
"{'day': 13, 'hour': 0}",56.0,6.0,13,0
"{'day': 13, 'hour': 1}",41.0,6.0,13,1
"{'day': 13, 'hour': 2}",14.0,6.0,13,2
"{'day': 13, 'hour': 3}",9.0,6.0,13,3
"{'day': 13, 'hour': 4}",8.0,6.0,13,4
"{'day': 13, 'hour': 5}",10.0,6.0,13,5
"{'day': 13, 'hour': 6}",30.0,6.0,13,6
"{'day': 13, 'hour': 7}",45.0,6.0,13,7
"{'day': 13, 'hour': 8}",53.0,6.0,13,8
"{'day': 13, 'hour': 9}",38.0,6.0,13,9
"{'day': 13, 'hour': 10}",52.0,6.0,13,10
"{'day': 13, 'hour': 11}",54.0,6.0,13,11
"{'day': 13, 'hour': 12}",56.0,6.0,13,12
"{'day': 13, 'hour': 13}",52.0,6.0,13,13
"{'day': 13, 'hour': 14}",56.0,6.0,13,14
"{'day': 13, 'hour': 15}",49.0,6.0,13,15
"{'day': 13, 'hour': 16}",66.0,6.0,13,16
"{'day': 13, 'hour': 17}",91.0,6.0,13,17
"{'day': 13, 'hour': 18}",124.0,6.0,13,18
"{'day': 13, 'hour': 19}",123.0,6.0,13,19
"{'day': 13, 'hour': 20}",136.0,6.0,13,20
"{'day': 13, 'hour': 21}",104.0,6.0,13,21
"{'day': 13, 'hour': 22}",142.0,6.0,13,22
"{'day': 13, 'hour': 23}",94.0,6.0,13,23
"{'day': 14, 'hour': 0}",87.0,7.0,14,0
"{'day': 14, 'hour': 1}",43.0,7.0,14,1
"{'day': 14, 'hour': 2}",40.0,7.0,14,2
"{'day': 14, 'hour': 3}",19.0,7.0,14,3
"{'day': 14, 'hour': 4}",8.0,7.0,14,4
"{'day': 14, 'hour': 5}",14.0,7.0,14,5
"{'day': 14, 'hour': 6}",20.0,7.0,14,6
"{'day': 14, 'hour': 7}",40.0,7.0,14,7
"{'day': 14, 'hour': 8}",60.0,7.0,14,8
"{'day': 14, 'hour': 9}",91.0,7.0,14,9
"{'day': 14, 'hour': 10}",103.0,7.0,14,10
"{'day': 14, 'hour': 11}",129.0,7.0,14,11
"{'day': 14, 'hour': 12}",137.0,7.0,14,12
"{'day': 14, 'hour': 13}",130.0,7.0,14,13
"{'day': 14, 'hour': 14}",141.0,7.0,14,14
"{'day': 14, 'hour': 15}",149.0,7.0,14,15
"{'day': 14, 'hour': 16}",145.0,7.0,14,16
"{'day': 14, 'hour': 17}",125.0,7.0,14,17
"{'day': 14, 'hour': 18}",114.0,7.0,14,18
"{'day': 14, 'hour': 19}",136.0,7.0,14,19
"{'day': 14, 'hour': 20}",116.0,7.0,14,20
"{'day': 14, 'hour': 21}",94.0,7.0,14,21
"{'day': 14, 'hour': 22}",74.0,7.0,14,22
"{'day': 14, 'hour': 23}",83.0,7.0,14,23
"{'day': 15, 'hour': 0}",78.0,1.0,15,0
"{'day': 15, 'hour': 1}",43.0,1.0,15,1
"{'day': 15, 'hour': 2}",30.0,1.0,15,2
"{'day': 15, 'hour': 3}",16.0,1.0,15,3
"{'day': 15, 'hour': 4}",8.0,1.0,15,4
"{'day': 15, 'hour': 5}",21.0,1.0,15,5
"{'day': 15, 'hour': 6}",8.0,1.0,15,6
"{'day': 15, 'hour': 7}",27.0,1.0,15,7
"{'day': 15, 'hour': 8}",47.0,1.0,15,8
"{'day': 15, 'hour': 9}",70.0,1.0,15,9
"{'day': 15, 'hour': 10}",90.0,1.0,15,10
"{'day': 15, 'hour': 11}",115.0,1.0,15,11
"{'day': 15, 'hour': 12}",131.0,1.0,15,12
"{'day': 15, 'hour': 13}",134.0,1.0,15,13
"{'day': 15, 'hour': 14}",133.0,1.0,15,14
"{'day': 15, 'hour': 15}",118.0,1.0,15,15
"{'day': 15, 'hour': 16}",113.0,1.0,15,16
"{'day': 15, 'hour': 17}",137.0,1.0,15,17
"{'day': 15, 'hour': 18}",122.0,1.0,15,18
"{'day': 15, 'hour': 19}",136.0,1.0,15,19
"{'day': 15, 'hour': 20}",97.0,1.0,15,20
"{'day': 15, 'hour': 21}",83.0,1.0,15,21
"{'day': 15, 'hour': 22}",73.0,1.0,15,22
"{'day': 15, 'hour': 23}",50.0,1.0,15,23
"{'day': 16, 'hour': 0}",35.0,2.0,16,0
"{'day': 16, 'hour': 1}",18.0,2.0,16,1
"{'day': 16, 'hour': 2}",14.0,2.0,16,2
"{'day': 16, 'hour': 3}",13.0,2.0,16,3
"{'day': 16, 'hour': 4}",4.0,2.0,16,4
"{'day': 16, 'hour': 5}",20.0,2.0,16,5
"{'day': 16, 'hour': 6}",27.0,2.0,16,6
"{'day': 16, 'hour': 7}",42.0,2.0,16,7
"{'day': 16, 'hour': 8}",59.0,2.0,16,8
"{'day': 16, 'hour': 9}",70.0,2.0,16,9
"{'day': 16, 'hour': 10}",57.0,2.0,16,10
"{'day': 16, 'hour': 11}",45.0,2.0,16,11
"{'day': 16, 'hour': 12}",56.0,2.0,16,12
"{'day': 16, 'hour': 13}",45.0,2.0,16,13
"{'day': 16, 'hour': 14}",47.0,2.0,16,14
"{'day': 16, 'hour': 15}",58.0,2.0,16,15
"{'day': 16, 'hour': 16}",61.0,2.0,16,16
"{'day': 16, 'hour': 17}",87.0,2.0,16,17
"{'day': 16, 'hour': 18}",121.0,2.0,16,18
"{'day': 16, 'hour': 19}",140.0,2.0,16,19
"{'day': 16, 'hour': 20}",92.0,2.0,16,20
"{'day': 16, 'hour': 21}",91.0,2.0,16,21
"{'day': 16, 'hour': 22}",74.0,2.0,16,22
"{'day': 16, 'hour': 23}",55.0,2.0,16,23
"{'day': 17, 'hour': 0}",50.0,3.0,17,0
"{'day': 17, 'hour': 1}",22.0,3.0,17,1
"{'day': 17, 'hour': 2}",15.0,3.0,17,2
"{'day': 17, 'hour': 3}",8.0,3.0,17,3
"{'day': 17, 'hour': 4}",5.0,3.0,17,4
"{'day': 17, 'hour': 5}",13.0,3.0,17,5
"{'day': 17, 'hour': 6}",22.0,3.0,17,6
"{'day': 17, 'hour': 7}",46.0,3.0,17,7
"{'day': 17, 'hour': 8}",38.0,3.0,17,8
"{'day': 17, 'hour': 9}",52.0,3.0,17,9
"{'day': 17, 'hour': 10}",43.0,3.0,17,10
"{'day': 17, 'hour': 11}",31.0,3.0,17,11
"{'day': 17, 'hour': 12}",40.0,3.0,17,12
"{'day': 17, 'hour': 13}",54.0,3.0,17,13
"{'day': 17, 'hour': 14}",62.0,3.0,17,14
"{'day': 17, 'hour': 15}",54.0,3.0,17,15
"{'day': 17, 'hour': 16}",60.0,3.0,17,16
"{'day': 17, 'hour': 17}",72.0,3.0,17,17
"{'day': 17, 'hour': 18}",104.0,3.0,17,18
"{'day': 17, 'hour': 19}",106.0,3.0,17,19
"{'day': 17, 'hour': 20}",110.0,3.0,17,20
"{'day': 17, 'hour': 21}",86.0,3.0,17,21
"{'day': 17, 'hour': 22}",68.0,3.0,17,22
"{'day': 17, 'hour': 23}",38.0,3.0,17,23
"{'day': 18, 'hour': 0}",35.0,4.0,18,0
"{'day': 18, 'hour': 1}",23.0,4.0,18,1
"{'day': 18, 'hour': 2}",6.0,4.0,18,2
"{'day': 18, 'hour': 3}",8.0,4.0,18,3
"{'day': 18, 'hour': 4}",8.0,4.0,18,4
"{'day': 18, 'hour': 5}",11.0,4.0,18,5
"{'day': 18, 'hour': 6}",19.0,4.0,18,6
"{'day': 18, 'hour': 7}",41.0,4.0,18,7
"{'day': 18, 'hour': 8}",53.0,4.0,18,8
"{'day': 18, 'hour': 9}",42.0,4.0,18,9
"{'day': 18, 'hour': 10}",45.0,4.0,18,10
"{'day': 18, 'hour': 11}",36.0,4.0,18,11
"{'day': 18, 'hour': 12}",51.0,4.0,18,12
"{'day': 18, 'hour': 13}",50.0,4.0,18,13
"{'day': 18, 'hour': 14}",47.0,4.0,18,14
"{'day': 18, 'hour': 15}",67.0,4.0,18,15
"{'day': 18, 'hour': 16}",63.0,4.0,18,16
"{'day': 18, 'hour': 17}",87.0,4.0,18,17
